Wavelength	As-cast	Co-facial	End-on
969.4425	0.14488	0.13071	0.16709
969.05792	0.14714	0.1317	0.16717
968.54504	0.14657	0.13168	0.16772
968.03198	0.14812	0.13053	0.16834
967.51886	0.14758	0.13268	0.16952
967.00549	0.14854	0.13157	0.17045
966.492	0.14843	0.13183	0.17089
965.97839	0.14914	0.13249	0.16872
965.46466	0.15034	0.13256	0.17023
964.95068	0.14987	0.13418	0.17136
964.43665	0.15017	0.13258	0.17125
964.05096	0.15182	0.13261	0.17221
963.53668	0.15112	0.13286	0.17374
963.02216	0.15273	0.13375	0.17334
962.50757	0.1534	0.13372	0.17373
961.9928	0.15222	0.13302	0.17448
961.47784	0.15312	0.13336	0.17503
960.96277	0.15359	0.13455	0.1752
960.44757	0.15524	0.13472	0.17667
960.06104	0.15691	0.13533	0.17619
959.54559	0.15711	0.13569	0.1774
959.02997	0.15718	0.13396	0.17847
958.51416	0.15739	0.13532	0.17831
957.99823	0.15828	0.13513	0.17904
957.48218	0.15882	0.13619	0.17817
956.96594	0.15942	0.13519	0.18085
956.44959	0.15918	0.13622	0.18024
956.06226	0.16064	0.13717	0.18114
955.54559	0.16069	0.13697	0.18195
955.02887	0.16118	0.13643	0.18302
954.5119	0.16268	0.13699	0.18358
953.99487	0.16315	0.13675	0.18312
953.47766	0.16306	0.13757	0.18423
952.96027	0.16432	0.13772	0.18565
952.44281	0.16427	0.1369	0.18486
952.05457	0.16561	0.13801	0.18675
951.5368	0.16629	0.13776	0.18771
951.01892	0.16712	0.13786	0.18868
950.50085	0.16829	0.13812	0.18856
949.98261	0.1681	0.13828	0.18947
949.46429	0.16834	0.13843	0.19032
948.9458	0.16859	0.13923	0.19034
948.55682	0.16952	0.13845	0.19063
948.03809	0.17074	0.14031	0.19216
947.51917	0.17125	0.13952	0.1926
947.00012	0.17287	0.1401	0.1941
946.48096	0.17284	0.13985	0.19399
945.96161	0.17368	0.14022	0.19649
945.44214	0.17388	0.14063	0.1959
945.05243	0.17518	0.14023	0.19666
944.53271	0.17541	0.14073	0.19746
944.01282	0.17736	0.14012	0.19859
943.4928	0.17728	0.14103	0.20066
942.97266	0.17897	0.14179	0.20075
942.45233	0.17992	0.14145	0.20114
942.06195	0.18036	0.14199	0.20326
941.54138	0.18181	0.14217	0.20328
941.02069	0.18117	0.14184	0.20611
940.49982	0.18247	0.14322	0.20694
939.97882	0.18329	0.14179	0.20725
939.4577	0.18386	0.14297	0.20816
938.9364	0.18551	0.14337	0.20918
938.54535	0.18635	0.14313	0.21072
938.02374	0.18776	0.14351	0.21234
937.50208	0.18792	0.14376	0.21294
936.98022	0.1896	0.14412	0.21336
936.45825	0.18974	0.14428	0.21463
935.93616	0.18975	0.14436	0.21641
935.54443	0.19179	0.14561	0.21855
935.02209	0.19227	0.14409	0.21927
934.49957	0.19399	0.14445	0.2209
933.97687	0.19383	0.14581	0.22257
933.4541	0.19577	0.14635	0.22433
933.06189	0.19705	0.14612	0.22433
932.53882	0.19799	0.14607	0.22786
932.01563	0.19806	0.14674	0.22736
931.49225	0.20145	0.14696	0.23072
930.96875	0.20158	0.14786	0.2311
930.44513	0.20195	0.1467	0.23337
930.05231	0.20364	0.14835	0.23454
929.52844	0.20462	0.14925	0.23748
929.00439	0.20483	0.14907	0.23749
928.48022	0.20653	0.14822	0.23999
927.95593	0.20865	0.14868	0.24238
927.56256	0.21001	0.14929	0.24392
927.03802	0.20962	0.14941	0.24561
926.51331	0.21123	0.14958	0.24763
925.98846	0.21232	0.14982	0.24915
925.46344	0.21411	0.14989	0.25117
924.93829	0.21495	0.15055	0.25451
924.54437	0.21602	0.15026	0.25672
924.01898	0.21691	0.15105	0.25873
923.49347	0.2183	0.15097	0.26064
922.96777	0.21983	0.15138	0.26343
922.44196	0.22095	0.15145	0.2652
922.04755	0.22298	0.15299	0.26849
921.52148	0.22445	0.15195	0.27065
920.99524	0.22537	0.15195	0.27441
920.46893	0.22725	0.15216	0.27604
919.94244	0.22922	0.15264	0.2804
919.54749	0.22968	0.15327	0.2819
919.02075	0.23183	0.15359	0.28559
918.49384	0.23308	0.15392	0.28789
917.96686	0.23446	0.15397	0.29154
917.4397	0.23574	0.15402	0.2939
917.04419	0.23757	0.15428	0.29643
916.51678	0.23887	0.15409	0.29956
915.98926	0.24015	0.15447	0.30281
915.46155	0.24244	0.15499	0.30589
915.06573	0.24309	0.15522	0.30811
914.53778	0.24563	0.15527	0.31295
914.0097	0.24633	0.15578	0.31618
913.48145	0.25024	0.15614	0.31997
912.95313	0.25011	0.15653	0.32473
912.55676	0.252	0.15647	0.32763
912.02814	0.2542	0.15676	0.33056
911.49939	0.25549	0.15726	0.33635
910.97052	0.25763	0.15717	0.33907
910.44147	0.25917	0.15713	0.3453
910.04462	0.26023	0.15821	0.34564
909.51538	0.26282	0.15766	0.35196
908.98596	0.26542	0.15847	0.35779
908.45642	0.26735	0.15828	0.3625
908.05914	0.26852	0.15914	0.36411
907.52936	0.27133	0.15933	0.36925
906.99939	0.27382	0.15998	0.37258
906.4693	0.2758	0.15946	0.37858
905.93909	0.278	0.15989	0.38372
905.54138	0.27966	0.15985	0.38821
905.01093	0.28177	0.16015	0.39341
904.48029	0.2823	0.15989	0.39597
903.94959	0.28594	0.16054	0.40251
903.55139	0.28667	0.16048	0.4069
903.02045	0.28998	0.16078	0.4116
902.48932	0.29317	0.16162	0.4155
901.95807	0.29581	0.16238	0.42275
901.55951	0.2957	0.1616	0.42578
901.02802	0.30008	0.16204	0.43391
900.49634	0.30094	0.16229	0.43911
899.9646	0.30618	0.16246	0.44661
899.56567	0.30661	0.16228	0.44847
899.03363	0.30948	0.16294	0.45634
898.50146	0.31231	0.16291	0.45943
897.96918	0.31516	0.16271	0.46926
897.43671	0.31735	0.16374	0.47425
897.03729	0.31978	0.16381	0.47771
896.50464	0.32341	0.16409	0.48601
895.9718	0.3255	0.16471	0.49043
895.43884	0.32851	0.16534	0.49741
895.03906	0.32968	0.16525	0.50023
894.50586	0.33316	0.16544	0.50917
893.97247	0.33568	0.1657	0.51257
893.43903	0.3404	0.16576	0.52336
893.03882	0.34143	0.1666	0.52473
892.50513	0.34591	0.16603	0.53544
891.97125	0.34879	0.16663	0.53954
891.43726	0.35322	0.16782	0.5482
891.03668	0.3537	0.16937	0.55344
890.50244	0.35856	0.16861	0.55761
889.96808	0.36093	0.16851	0.56729
889.43359	0.36499	0.16968	0.57292
889.03259	0.3679	0.17009	0.57828
888.49786	0.37222	0.16974	0.58653
887.96301	0.37582	0.17064	0.59628
887.56171	0.37765	0.17116	0.60044
887.02661	0.38242	0.17256	0.60647
886.49133	0.38612	0.17275	0.61302
885.95593	0.39036	0.17291	0.62317
885.55432	0.39198	0.17404	0.62623
885.01868	0.3978	0.17418	0.63686
884.48291	0.40096	0.17531	0.64195
883.94702	0.40632	0.17607	0.65298
883.54498	0.4094	0.17743	0.65809
883.00885	0.41428	0.17774	0.66332
882.4726	0.4172	0.17901	0.67274
881.93616	0.42178	0.17978	0.67848
881.53375	0.42483	0.18142	0.68342
880.99707	0.42884	0.18158	0.68989
880.46033	0.43444	0.18336	0.70147
